Benämning                      Num Hplnamn Notering                                                       Numerisk X   Numerisk Y          wgs84_lat         wgs84_long
1222 Frölunda Kyrkog.35               1222 Frölunda Kyrkby                                                 316356,00   6393680,00      57,6479000000      11,9227000000
1246 Jordledningsgatan 4              1246 Äldreboende Björkåshemmet                                       316832,00   6394487,00      57,6553000000      11,9300000000
1274 Munspelsgatan 8                  1274 Taxi L                                                          315369,00   6394565,00      57,6554000000      11,9055000000
1275 Gånglåten 28                     1275 Taxi C, Fr.Säckpipegatan                                        315212,00   6394689,00      57,6565000000      11,9027000000
1276 Gånglåten 58                     1276 Läge A - Taxi G                                                 315198,00   6394908,00      57,6584532068      11,9023377708
1277 Grimmeredsv.145                  1277                                                                 314992,00   6395150,00      57,6605391865      11,8987052306
1278 Klangfärgsgatan 23               1278                                                                 314794,00   6395425,00      57,6629000000      11,8952000000
1461 Guldringen 20                    1461 Fr.Bärnstensgatan                                               314522,00   6395049,00      57,6594000000      11,8909000000
1462 Guldringen 38                    1462 Taxificka D - Fr.Bergkristallsgatan                             314652,00   6394857,00      57,6578000000      11,8932000000
1463 Karneolgatan 27                  1463                                                                 314770,00   6394765,00      57,6569948553      11,8952852815
1464 Beryllgatan Hpl                  1464 Läge B                                                          314277,00   6394980,00      57,6587203137      11,8868706126
1465 Beryllgatan 13                   1465                                                                 314340,00   6394864,00      57,6577058689      11,8880139844
1466 Beryllgatan 66                   1466                                                                 314183,00   6394761,00      57,6567173325      11,8854660486
1471 Apelsingatan 69                  1471                                                                 313859,00   6394570,00      57,6549000000      11,8802000000
1472 Apelsingatan 143                 1472                                                                 313865,00   6394399,00      57,6533000000      11,8804000000
1473 Clementingatan 24                1473                                                                 313621,00   6394452,00      57,6537000000      11,8763000000
1474 Citrongatan 4                    1474                                                                 313352,00   6394444,00      57,6535000000      11,8718000000
1475 Citrusgatan 27                   1475                                                                 313514,00   6394319,00      57,6525000000      11,8746000000
2401 Toftaåsgatan 82                  2401 Äldreboende Toftaåsen                                           316226,00   6393444,00      57,6457421562      11,9206541093
2402 Toftaåsgatan 50                  2402                                                                 316058,00   6393406,00      57,6453000000      11,9179000000
2404 Topasgatan 27                    2404                                                                 315733,00   6393655,00      57,6474000000      11,9122000000
2406 Topasgatan 58                    2406 Vårdcentral                                                     315629,00   6393840,00      57,6491000000      11,9104000000
2407 Topasgatan 69                    2407                                                                 315433,00   6394016,00      57,6505000000      11,9070000000
1411 Pingstkyrkan                     1411 Diamantgatan 3                                                  315263,00   6394103,00      57,6512594156      11,9040410830
1412 Briljantgatan 51                 1412                                                                 315306,00   6393744,00      57,6480570348      11,9050348977
1413 Briljantgatan 66                 1413                                                                 315310,00   6393683,00      57,6475115585      11,9051484115
2002 Nils Holgerssons Gata            2002 Taxi ficka B                                                    320416,00   6405059,00      57,7516000000      11,9821000000
